iter, loss
1,1.044298642873764
2,0.9512706652709416
3,0.900173876455852
4,0.8756836564200265
5,0.862583726474217
6,0.8547511310236795
7,0.8496280716146741
8,0.8460349006312234
9,0.8433748425756182
10,0.8413228522028242
11,0.839688332932336
12,0.8383516337190355
13,0.8372346620900291
14,0.8362850749492645
15,0.8354659911564418
16,0.8347511322157724
17,0.8341209036963326
18,0.8335598300184522
19,0.83305622952325
20,0.8326012051105499
21,0.832188012770244
22,0.8318107329096113
23,0.8314643246786935
24,0.8311449921131134
25,0.8308494634287698
26,0.8305750676563808
27,0.8303192814758845
28,0.8300801575183868
29,0.8298561567919595
30,0.8296457672119141
31,0.8294476049286978
32,0.8292605926309313
33,0.8290837834562574
34,0.828916301046099
35,0.8287572845390865
36,0.8286060079506465
37,0.8284619227477482
38,0.8283244090420859
39,0.8281929969787598
40,0.8280672814164843
41,0.8279468987669264
42,0.8278314450808933
43,0.8277205201557705
44,0.827613925082343
45,0.8275112908227104
46,0.8274124029704503
47,0.8273169578824724
48,0.8272247619288309
49,0.8271356684820993
50,0.827049468755722
51,0.8269660123756953
52,0.8268851028169905
53,0.8268065968581608
54,0.82673038652965
55,0.826656356709344
56,0.8265843749046325
57,0.826514323268618
58,0.8264460822514125
59,0.8263795948028565
60,0.8263147522721972
61,0.826251483815057
62,0.8261896853787558
63,0.8261293281827654
64,0.8260702827998571
65,0.8260125003542219
66,0.8259559682437352
67,0.8259005847999028
68,0.8258462926319667
69,0.8257930864606585
70,0.8257408109733037
71,0.8256894975049155
72,0.8256390385968344
73,0.8255894032546452
74,0.8255406211103712
75,0.8254926129749843
76,0.8254453878743307
77,0.8253988598074232
78,0.8253529679775238
79,0.8253076902457646
80,0.8252630272933416
81,0.8252189149175372
82,0.8251753648689815
83,0.8251323119231633
84,0.8250897743020739
85,0.8250476673671178
86,0.8250059849875314
87,0.8249646888460431
88,0.8249238044875009
89,0.8248832668576922
90,0.8248430606297085
91,0.8248031670706613
92,0.8247635676179613
93,0.8247242757252284
94,0.8246851543017796
95,0.8246462636334555
96,0.8246075720446451
97,0.8245690936701638
98,0.8245307723113469
99,0.8244925905976976
100,0.8244545199189868
