iter, loss
1,1.0602958791596548
2,0.9719739610808237
3,0.9105497091157095
4,0.8848623485224587
5,0.8663104101589748
6,0.8550161702292306
7,0.8535263572420393
8,0.849897380726678
9,0.8446082687377929
10,0.8428690717901502
11,0.8412459426266806
12,0.8401461780071259
13,0.8388275580746787
14,0.8372203489712307
15,0.8357271461827415
16,0.8350901002543313
17,0.8351751554012299
18,0.8345408001967839
19,0.8342364137513297
20,0.8331669288022178
21,0.8329927691391537
22,0.8331640229906354
23,0.833057827098029
24,0.8317015268121447
25,0.8322930806023734
26,0.8312200473036084
27,0.8297641490186963
28,0.8298279162815639
29,0.8302326502118792
30,0.8306209661279406
31,0.8307250249385834
32,0.8286530421461378
33,0.8293371447495052
34,0.8290721568039485
35,0.8301411615099226
36,0.8293587240150997
37,0.8295364885670798
38,0.8283234451498304
39,0.8282216613633292
40,0.8277146177632468
41,0.8285500318663461
42,0.827739783525467
43,0.8282173088618687
44,0.8280811669145312
45,0.8274888910566057
46,0.8271025793892997
47,0.827211058650698
48,0.8273953936781202
49,0.8282368268285479
50,0.8278814111437116
51,0.8264637180737087
52,0.827658463035311
53,0.8278124529974801
54,0.8272326767444611
55,0.8275139830793653
56,0.8263684972694942
57,0.8265384554862976
58,0.82648553780147
59,0.8275714564323425
60,0.8268839093617031
61,0.826587529182434
62,0.826553486755916
63,0.8264625637871879
64,0.8268092480727605
65,0.8255627107620239
66,0.8260083780969892
67,0.8268528580665588
68,0.8256973263195583
69,0.8255045104026795
70,0.8267348609651838
71,0.8259817070620401
72,0.826103366613388
73,0.8260603821277619
74,0.8253254526002066
75,0.8258714955193656
76,0.8253102372373854
77,0.8263312883036478
78,0.8250064221450261
79,0.8251672835009438
80,0.8256817507743835
81,0.8256893360614777
82,0.8256961970669883
83,0.8258835286753519
84,0.8250714453629086
85,0.8247273664815086
86,0.8254662573337554
87,0.8248801302909851
88,0.825413897718702
89,0.824714618069785
90,0.8248258883612497
91,0.8252717712947301
92,0.8252126359939576
93,0.8242506555148533
94,0.8248504076685225
95,0.8256005089623587
96,0.8249745059013367
97,0.8249880048206875
98,0.8246322095394134
99,0.8248907911777497
100,0.8245526106016976
